ID,Message,Fashion,Brand,Refund,Sentiment,Intent,
1,"""My Gucci dress is torn at the seam.""",Fashion,Gucci,Yes,Negative,Damage,
2,"""This MAC lip gloss is very sticky.""",Fashion,MAC,No,Negative,Quality,
3,"""The Ordinary serum arrived broken.""",Cosmetic,Ordinary,Yes,Negative,Damage,
4,"""I love these Zara boots so much!""",Fashion,Zara,No,Positive,Feedback,
5,"""Can I return a used Dior cream?""",Cosmetic,Dior,No,Neutral,Policy,
6,"""The H&M sizing is way too small.""",Fashion,H&M,Yes,Frustrated,Sizing,
7,"""Is this Fenty blush vegan?""",Cosmetic,Fenty,No,Neutral,Inquiry,
8,"""My Prada bag arrived empty!""",Fashion,Prada,Yes,Negative,Missing,
9,"""I received a red shirt instead of blue.""",Fashion,Uniqlo,Yes,Neutral,Wrong Item,
10,"""The pump on my NARS bottle is stuck.""",Cosmetic,NARS,Yes,Frustrated,Damage,
11,"""Do you ship Chanel to Dubai?""",Fashion,Chanel,No,Neutral,Shipping,
12,"""This fabric feels like plastic.""",Fashion,Shein,Yes,Negative,Quality,
13,"""I want to cancel my Adidas order.""",Fashion,Adidas,Yes,Neutral,Cancel,
14,"""The lipstick gave me a bad rash.""",Cosmetic,MAC,Yes,Negative,Safety,
15,"""Is there a sale on Nike today?""",Fashion,Nike,No,Positive,Inquiry,
16,"""I lost my receipt for this blazer.""",Fashion,Mango,Partial,Neutral,Policy,
17,"""The eyeshadow arrived shattered.""",Cosmetic,Rare Beauty,Yes,Negative,Damage,
18,"""I've been waiting 3 weeks for my bag.""",Fashion,Gucci,Yes,Angry,Tracking,
19,"""Do you have this in size XL?""",Fashion,Zara,No,Neutral,Sizing,
20,"""The moisturizer smells expired.""",Cosmetic,Ordinary,Yes,Negative,Quality,
21,"""My account was charged twice.""",Cosmetic,Clinique,Yes,Neutral,Billing,
22,"""This silk scarf is beautiful!""",Fashion,Hermes,No,Positive,Feedback,
23,"""I want a refund for final sale items.""",Fashion,H&M,No,Frustrated,Refund,
24,"""The zipper on these jeans snapped.""",Fashion,Levi's,Yes,Negative,Damage,
25,"""Is the Retinol safe for pregnancy?""",Cosmetic,Ordinary,No,Neutral,Medical,
26,"""The box was wet but the dress is dry.""",Fashion,ASOS,No,Neutral,Shipping,
27,"""I need to change my delivery address.""",Fashion,Next,No,Neutral,Update,
28,"""My skin is peeling after using this.""",Cosmetic,Dior,Yes,Negative,Safety,
29,"""Can I pay with Tabby or Tamara?""",Fashion,Namshi,No,Neutral,Payment,
30,"""The gold plating is already fading.""",Fashion,Cartier,Yes,Negative,Quality,
31,"""I want to talk to a manager now.""",Fashion,Zara,No,Angry,Escalation,
32,"""Does the foundation have SPF?""",Cosmetic,MAC,No,Neutral,Inquiry,
33,"""The courier was very polite.""",Fashion,Noon,No,Positive,Feedback,
34,"""My tracking number doesn't work.""",Fashion,Victoria's Secret,No,Frustrated,Tracking,
35,"""I ordered a bundle but one is missing.""",Cosmetic,Fenty,Yes,Neutral,Missing,
36,"""Is this dress made of real silk?""",Fashion,Prada,No,Neutral,Inquiry,
37,"""The eyeshadow isn't pigmented at all.""",Cosmetic,Urban Decay,Yes,Negative,Quality,
38,"""Can I exchange this for a gift card?""",Fashion,H&M,Partial,Neutral,Policy,
39,"""The app is not showing my rewards.""",Fashion,Sephora,No,Neutral,Tech,
40,"""I found a better price elsewhere.""",Fashion,Amazon,Yes,Neutral,Price Match,
41,"""The lace is very itchy.""",Fashion,Agent Provocateur,Yes,Negative,Quality,
42,"""I want to return a gift I received.""",Fashion,Burberry,Partial,Neutral,Policy,
43,"""My perfume cap won't stay on.""",Cosmetic,Chanel,Yes,Frustrated,Damage,
